Reviewer,Note,Comment,Localisation,Nbreviews,Date,Compagny
Miriam,1.0,"Great experience

Had great experience",US,1,2022-07-25T02:55:30Z,"Comedy Driving, Inc."
Clyde,1.0,Informative and engaging!,US,1,2022-07-25T02:45:20Z,"Comedy Driving, Inc."
Robert,1.0,"Great online defensive driving course

Great online defensive driving course. I liked that I was able to press pause and get right back into my course! Would highly recommend.",US,1,2022-07-24T23:17:20Z,"Comedy Driving, Inc."
Tammy,1.0,"Honestly very good class

Honestly very good class. Pretty painless and informative.",US,1,2022-07-24T19:15:10Z,"Comedy Driving, Inc."
April,1.0,"Very informative

Very informative and easy to use occasional funny",US,1,2022-07-24T17:08:54Z,"Comedy Driving, Inc."
Big Simpin,1.0,"simplicity

comedy driving was so simple to access and go through",US,1,2022-07-24T05:26:27Z,"Comedy Driving, Inc."
Travita,1.0,"Enjoyable content

The course was helpful and met my expectations. It was humorous at times. It kept me engaged.",US,2,2022-07-24T01:21:23Z,"Comedy Driving, Inc."
Tyron,1.0,"very useful 👌

I was well educated on the course will recommend to anyone",US,1,2022-07-23T22:14:47Z,"Comedy Driving, Inc."
Shawnee,1.0,"I am a repeat customer

I am a repeat customer. Excellent class",US,3,2022-07-23T17:36:02Z,"Comedy Driving, Inc."
Jolynda,1.0,"I was having trouble with the videos on…

I was having trouble with the videos on my computer so I call the number given at the start of the course. Dwight was very helpful. Each time I called with a concern. I would recommend your course.",US,1,2022-07-23T06:24:00Z,"Comedy Driving, Inc."
Jennifer,1.0,"Great course

Fast, funny and easy course for defensive driving!",US,1,2022-07-22T07:00:43Z,"Comedy Driving, Inc."
Pamela,1.0,"Comedy Driving Course

I was not excited about taking this course. As it turned out I found it very informative. The comedy helped it from being so dry.",US,1,2022-07-22T06:51:52Z,"Comedy Driving, Inc."
Donna,1.0,"I enjoyed the class very much

I enjoyed the class very much! If I ever have to do another Defensive Driving class it will be this one",US,1,2022-07-22T06:00:47Z,"Comedy Driving, Inc."
Damita,1.0,"It was quick

It was quick, fun and informative!!",US,1,2022-07-22T03:07:41Z,"Comedy Driving, Inc."
Steve,1.0,"You will be a better driver.

Comedy Driving was fast, informative and also a little funny. I would recommend it to anyone. Made me a better driver.",US,1,2022-07-22T03:04:43Z,"Comedy Driving, Inc."
Maria,1.0,"Very entertaining course

Very entertaining course, they have great customer service as well.",US,1,2022-07-21T21:41:56Z,"Comedy Driving, Inc."
Kwabena,1.0,"The Course had fun videos that made it…

The Course had fun videos that made it simple to understand.",US,1,2022-07-21T17:52:08Z,"Comedy Driving, Inc."
Ruth Lupe Luna,1.0,"Enjoyed since I was able to so on my…

Enjoyed since I was able to so on my own time!",US,1,2022-07-21T11:06:06Z,"Comedy Driving, Inc."
Reginald,1.0,Great and will always come back.,US,1,2022-07-21T09:08:40Z,"Comedy Driving, Inc."
Marlene,0.8,"Humor helped a very boring topic…

Humor helped a very boring topic bearable. I enjoyed watching and it wasn't as bad as it could have been.",US,1,2022-07-21T08:40:38Z,"Comedy Driving, Inc."
Nayza,1.0,"Entertaining

Straight forward and entertaining! Loved it!",US,1,2022-07-21T06:59:38Z,"Comedy Driving, Inc."
Diane,0.8,"Was decent for sure

Was decent for sure! Comedy was just kind of cartoonish/low brow which I am not a fan of but overall was a smooth easy and fairly painless process so thanks!",US,1,2022-07-21T06:10:04Z,"Comedy Driving, Inc."
Adriana,1.0,"Not boring

I liked this online course because it wasn’t boring. The cartoon like content kept me focused. Also having the questions asked throughout the lesson/sections was helpful too.",US,1,2022-07-21T04:34:58Z,"Comedy Driving, Inc."
Jeremy,1.0,"Laugh my a-- off

I though this course was fun, enlightening, and refreshingly humorous while efficacious.",US,1,2022-07-20T14:55:07Z,"Comedy Driving, Inc."
Asumani,1.0,"Great content

Great content, great pricing, and an easy process from start to finish. Hopefully I'll never have to attend another defensive driving course but God forbid I do, I'll choose comedy driving, Inc.",US,1,2022-07-20T04:18:40Z,"Comedy Driving, Inc."
Presley Frugia,1.0,"I'm not computer friendly but will say…

I'm not computer friendly but will say very easy and when I passed they email me a copy of completion.I then copied it sent to the court house and it's done.Very easy",US,3,2022-07-20T03:56:08Z,"Comedy Driving, Inc."
Shanetha,1.0,It was better then I thought,US,1,2022-07-20T03:10:57Z,"Comedy Driving, Inc."
Todd,1.0,"Easy to follow the videos

Easy to follow the videos. Pay attention to the videos and the couple of questions at the end of each chapter will be easy. Recommend.",US,1,2022-07-20T02:28:51Z,"Comedy Driving, Inc."
Curtis Tieken,0.8,"Course was good

Course was good, and informative",US,2,2022-07-20T02:18:27Z,"Comedy Driving, Inc."
Ann Burnett,1.0,"The class was informative and easy to…

The class was informative and easy to watch. I have driven for many, many years but still learned a lot. I would recommend the Comedy Driving class to anyone!",US,2,2022-07-20T01:46:13Z,"Comedy Driving, Inc."
Jackie,0.8,"I enjoyed the course it was very…

I enjoyed the course it was very informative.",US,1,2022-07-19T21:34:33Z,"Comedy Driving, Inc."
Garrett,0.8,"Honest

Course was entertaining but when made to go back for missing a question involving a video, it only goes back to the previous video and not always the video that was involved with the question.",US,1,2022-07-19T20:04:47Z,"Comedy Driving, Inc."
Jc,0.8,"Quick

Did not feel as long easy to pass just listen",US,1,2022-07-19T18:22:28Z,"Comedy Driving, Inc."
Jennifer,1.0,"Loved this program!

It was a very fun way to do defensive driving and taught me a lot",US,1,2022-07-19T17:40:28Z,"Comedy Driving, Inc."
Richard,0.8,"The course was easy to follow and very…

The course was easy to follow and very informative. As long as you are paying attention to the material, you should have no problem answering the questions through out the course.",US,1,2022-07-19T04:15:07Z,"Comedy Driving, Inc."
Ashlee,1.0,"Super easy

Super easy, was able to leave it on and jump back right where I left off with no problems.",US,1,2022-07-18T20:24:58Z,"Comedy Driving, Inc."
David C Bayoud,1.0,"Entertaining yet Informative

Was entertaing yet informative during the 6 hour course.",US,1,2022-07-18T19:55:35Z,"Comedy Driving, Inc."
Vanessa,1.0,"It was cute

This was a cute funny and totally appreciate it",US,1,2022-07-18T19:42:39Z,"Comedy Driving, Inc."
