Index,Compagny,Typo,Nb_reviews,Rating,Website,review_link,SubCategory
124,Carid,Auto Parts Store,6059,3.0,https://www.www.carid.com,https://www.trustpilot.com/review/www.carid.com,Car Accessories Store 
125,Green Motion International,Car Rental Agency,4846,3.0,https://www.greenmotion.com,https://www.trustpilot.com/review/greenmotion.com,Car Accessories Store 
126,Automotix,Auto Parts Store,3166,3.0,https://www.automotix.net,https://www.trustpilot.com/review/automotix.net,Car Accessories Store 
127,CarDelMar,Travel Agency,13915,2.8,https://www.www.cardelmar.com,https://www.trustpilot.com/review/www.cardelmar.com,Car Accessories Store 
128,Michigan Truck Spring,Auto Parts Store,6363,4.8,https://www.truckspring.com,https://www.trustpilot.com/review/truckspring.com,Auto Parts Store 
129,Street Smart® Transmission,Auto Parts Store,4251,4.8,https://www.streetsmarttransmission.com,https://www.trustpilot.com/review/streetsmarttransmission.com,Auto Parts Store 
130,StockWiseAuto.com,Auto Parts Store,16187,4.7,https://www.stockwiseauto.com,https://www.trustpilot.com/review/stockwiseauto.com,Auto Parts Store 
131,National Parts Depot,Auto Parts Store,9533,4.7,https://www.npdlink.com,https://www.trustpilot.com/review/npdlink.com,Auto Parts Store 
132,Pure Diesel Power,Auto Parts Store,5454,4.7,https://www.puredieselpower.com,https://www.trustpilot.com/review/puredieselpower.com,Auto Parts Store 
133,eManualOnline,Car Service,3979,4.7,https://www.emanualonline.com,https://www.trustpilot.com/review/emanualonline.com,Auto Parts Store 
134,FixMyToys,Motorsports Store,2990,4.6,https://www.fixmytoys.com,https://www.trustpilot.com/review/fixmytoys.com,Auto Parts Store 
135,Sport Compact Warehouse,Car Accessories Store,2923,4.6,https://www.sportcompactwarehouse.com,https://www.trustpilot.com/review/sportcompactwarehouse.com,Auto Parts Store 
136,National Tool Warehouse,Auto Parts Store,2692,4.6,https://www.nationaltoolwarehouse.com,https://www.trustpilot.com/review/nationaltoolwarehouse.com,Auto Parts Store 
137,PRO Import Tuners.com,Auto Parts Store,2220,4.6,https://www.proimporttuners.com,https://www.trustpilot.com/review/proimporttuners.com,Auto Parts Store 
138,Complete Tractor,Auto Parts Store,5199,4.5,https://www.completetractor.com,https://www.trustpilot.com/review/completetractor.com,Auto Parts Store 
139,eEuroparts.com,Auto Parts Store,24243,4.4,https://www.www.eeuroparts.com,https://www.trustpilot.com/review/www.eeuroparts.com,Auto Parts Store 
140,Del City,Auto Parts Store,6305,4.3,https://www.delcity.net,https://www.trustpilot.com/review/delcity.net,Auto Parts Store 
141,"Flagship One, Inc.",Auto Parts Store,2146,4.3,https://www.fs1inc.com,https://www.trustpilot.com/review/fs1inc.com,Auto Parts Store 
142,Classic Industries,Auto Parts Store,17398,4.2,https://www.classicindustries.com,https://www.trustpilot.com/review/classicindustries.com,Auto Parts Store 
143,Partsology,Auto Parts Store,5893,4.2,https://www.partsology.com,https://www.trustpilot.com/review/partsology.com,Auto Parts Store 
144,CarParts.com,Auto Parts Store,5581,4.2,https://www.www.carparts.com,https://www.trustpilot.com/review/www.carparts.com,Auto Parts Store 
145,Parts Geek,Auto Parts Store,156166,4.0,https://www.www.partsgeek.com,https://www.trustpilot.com/review/www.partsgeek.com,Auto Parts Store 
146,Automotix,Auto Parts Store,3166,3.0,https://www.automotix.net,https://www.trustpilot.com/review/automotix.net,Auto Parts Store 
147,Michigan Truck Spring,Auto Parts Store,6363,4.8,https://www.truckspring.com,https://www.trustpilot.com/review/truckspring.com,Auto Parts Store 
148,Street Smart® Transmission,Auto Parts Store,4251,4.8,https://www.streetsmarttransmission.com,https://www.trustpilot.com/review/streetsmarttransmission.com,Auto Parts Store 
149,StockWiseAuto.com,Auto Parts Store,16187,4.7,https://www.stockwiseauto.com,https://www.trustpilot.com/review/stockwiseauto.com,Auto Parts Store 
150,National Parts Depot,Auto Parts Store,9533,4.7,https://www.npdlink.com,https://www.trustpilot.com/review/npdlink.com,Auto Parts Store 
